Label,URI,Comment
downwelling longwave radiance in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#downwelling_longwave_radiance_in_air,"longwave means longwave radiation. Downwelling radiation is radiation from above. It does not mean net downward. Radiance is the radiative flux in a particular direction, per unit of solid angle. The direction from which it is coming must be specified, for instance with a coordinate of zenith_angle. If the radiation does not depend on direction, a standard name of isotropic radiance should be chosen instead."
downwelling shortwave flux in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#downwelling_shortwave_flux_in_air,"shortwave means shortwave radiation. Downwelling radiation is radiation from above. It does not mean net downward. When thought of as being incident on a surface, a radiative flux is sometimes called irradiance. In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called vector irradiance. In accordance with common usage in geophysical disciplines, flux implies per unit area, called flux density in physics."
downwelling shortwave flux in air assuming clear sky,http://purl.oclc.org/NET/ssnx/cf/cf-property#downwelling_shortwave_flux_in_air_assuming_clear_sky,"Downwelling radiation is radiation from above. It does not mean net downward.  When thought of as being incident on a surface, a radiative flux is sometimes called irradiance.  In addition, it is identical with the quantity measured by a cosine-collector light-meter and sometimes called vector irradiance.  In accordance with common usage in geophysical disciplines, flux implies per unit area, called flux density in physics.  A phrase assuming_condition  indicates that the named quantity is the value which would obtain if all  aspects of the system were unaltered except for the assumption of the  circumstances specified by the condition.  shortwave means shortwave radiation. "
downwelling shortwave radiance in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#downwelling_shortwave_radiance_in_air,"shortwave means shortwave radiation. Downwelling radiation is radiation from above. It does not mean net downward. Radiance is the radiative flux in a particular direction, per unit of solid angle. The direction from which it is coming must be specified, for instance with a coordinate of zenith_angle. If the radiation does not depend on direction, a standard name of isotropic radiance should be chosen instead."
eastward mass flux of air,http://purl.oclc.org/NET/ssnx/cf/cf-property#eastward_mass_flux_of_air,"Eastward indicates a vector component which is positive when directed eastward (negative westward). In accordance with common usage in geophysical disciplines, flux implies per unit area, called flux density in physics."
isotropic longwave radiance in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#isotropic_longwave_radiance_in_air,"longwave means longwave radiation. Radiance is the radiative flux in a particular direction, per unit of solid angle. If radiation is isotropic, the radiance is independent of direction, so the direction should not be specified. If the radiation is directionally dependent, a standard name of upwelling or downwelling radiance should be chosen instead."
isotropic shortwave radiance in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#isotropic_shortwave_radiance_in_air,"shortwave means shortwave radiation. Radiance is the radiative flux in a particular direction, per unit of solid angle. If radiation is isotropic, the radiance is independent of direction, so the direction should not be specified. If the radiation is directionally dependent, a standard name of upwelling or downwelling radiance should be chosen instead."
mass concentration of acetic acid in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_acetic_acid_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for acetic_acid is CH3COOH. The IUPAC name for acetic acid is ethanoic acid."
mass concentration of aceto nitrile in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_aceto_nitrile_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for aceto-nitrile is CH3CN. The IUPAC name for aceto-nitrile is ethanenitrile."
mass concentration of alkanes in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_alkanes_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Alkanes are saturated hydrocarbons, i.e. they do not contain any chemical double bonds.  Alkanes contain only hydrogen and carbon combined in the general proportions C(n)H(2n+2); alkanes is the term used in standard names to describe the group of chemical species having this common structure that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Standard names exist for some individual alkane species, e.g., methane and ethane."
mass concentration of alkenes in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_alkenes_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Alkenes are unsaturated hydrocarbons as they contain chemical double bonds between adjacent carbon atoms.  Alkenes contain only hydrogen and carbon combined in the general proportions C(n)H(2n); alkenes is the term used in standard names to describe the group of chemical species having this common structure that are represented within a given model. The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Standard names exist for some individual alkene species, e.g., ethene and propene."
mass concentration of alpha hexachlorocyclohexane in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_alpha_hexachlorocyclohexane_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for alpha_hexachlorocyclohexane is C6H6Cl6."
mass concentration of alpha pinene in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_alpha_pinene_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for alpha_pinene is C10H16. The IUPAC name for alpha-pinene is (1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene."
mass concentration of ammonia in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_ammonia_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for ammonia is NH3."
mass concentration of ammonium dry aerosol in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_ammonium_dry_aerosol_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aerosol means the suspended liquid or solid particles in air (except cloud droplets).  Aerosol takes up ambient water (a process known as hygroscopic growth) depending on the relative humidity and the composition of the aerosol. Dry aerosol means aerosol without water. The chemical formula for ammonium is NH4."
mass concentration of anthropogenic nmvoc expressed as carbon in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_anthropogenic_nmvoc_expressed_as_carbon_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. nmvoc means non methane volatile organic compounds. Anthropogenic means influenced, caused, or created by human activity.  The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mass concentration of aromatic compounds in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_concentration_of_aromatic_compounds_in_air," Mass concentration means mass per unit volume and is used in the construction mass_concentration_of_X_in_Y, where X is a material constituent of Y.  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Aromatic compounds in organic chemistry are compounds that contain at least one benzene ring of six carbon atoms joined by alternating single and double covalent bonds.  The simplest aromatic compound is benzene itself.  In standard names aromatic_compounds is the term used to describe the group of aromatic chemical species that  are represented within a given model.  The list of individual species that are included in a quantity having a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute.  Standard names exist for some individual aromatic species, e.g. benzene and xylene."
